"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Gene"
"1",14,23,12,9,11,17,11,7,19,17,"0610007C21Rik"
"2",0,5,2,1,5,1,0,1,1,4,"0610007L01Rik"
"3",1,0,2,1,0,0,1,0,0,4,"0610007P08Rik"
"4",11,16,13,9,1,6,9,3,2,6,"0610007P14Rik"
"5",0,1,3,2,3,0,1,0,3,1,"0610007P22Rik"
"6",3,0,2,1,1,2,1,3,0,6,"0610009B22Rik"
"7",7,8,7,9,5,5,6,3,5,4,"0610009D07Rik"
"8",0,1,1,0,0,2,1,0,0,3,"0610009L18Rik"
"9",2,4,4,3,4,3,5,4,5,2,"0610009O20Rik"
"10",0,0,4,1,3,1,0,3,1,2,"0610010F05Rik"
"11",8,2,8,5,8,5,11,6,6,7,"0610010K14Rik"
"12",1,1,1,3,1,1,2,4,5,5,"0610010O12Rik"
"13",3,1,0,1,0,2,0,0,1,3,"0610011F06Rik"
"14",1,1,2,2,3,0,1,2,2,0,"0610011L14Rik"
"15",2,8,1,2,4,2,1,1,2,2,"0610012G03Rik"
"16",2,0,3,0,0,1,1,0,0,0,"0610030E20Rik"
"17",5,13,13,5,0,13,3,8,7,12,"0610031J06Rik"
"18",2,1,3,0,2,2,4,4,2,2,"0610037L13Rik"
"19",3,3,8,0,1,3,3,6,2,3,"0610037P05Rik"
"20",0,0,0,0,0,0,1,0,1,0,"0610040B10Rik"
"21",0,0,7,5,3,2,7,2,2,2,"0610040J01Rik"
"22",9,5,5,6,8,8,2,8,8,3,"0910001L09Rik"
"23",3,0,1,0,1,1,1,0,1,3,"1110001A16Rik"
"24",6,0,7,3,6,7,2,5,5,3,"1110001J03Rik"
"25",7,11,17,9,11,10,12,9,11,9,"1110002B05Rik"
"26",2,0,0,0,0,0,0,1,0,0,"1110002L01Rik"
"27",0,0,0,1,0,0,0,0,0,0,"1110002N22Rik"
"28",12,5,1,4,3,3,11,5,3,5,"1110003E01Rik"
"29",1,1,4,3,3,4,1,0,0,2,"1110004E09Rik"
"30",9,6,5,4,7,7,13,6,7,6,"1110004F10Rik"
"31",0,0,1,0,0,0,1,1,0,0,"1110005A03Rik"
