"","1","2","3","4","5","6","7","8","Gene"
"1",5,28,26,12,12,5,15,12,"0610007C21Rik"
"2",1,4,3,5,5,1,0,6,"0610007L01Rik"
"3",0,1,1,0,2,3,1,0,"0610007P08Rik"
"4",8,4,19,4,5,0,15,20,"0610007P14Rik"
"5",1,2,0,1,1,11,2,1,"0610007P22Rik"
"6",1,2,2,0,1,8,3,4,"0610009B22Rik"
"7",6,11,4,1,3,2,12,6,"0610009D07Rik"
"8",0,0,1,0,3,4,0,1,"0610009L18Rik"
"9",1,3,0,4,1,1,17,1,"0610009O20Rik"
"10",0,1,1,0,2,5,3,3,"0610010F05Rik"
"11",2,10,0,13,3,4,7,7,"0610010K14Rik"
"12",2,0,1,0,10,7,4,4,"0610010O12Rik"
"13",0,2,1,0,3,0,2,2,"0610011F06Rik"
"14",1,1,3,2,7,1,0,4,"0610011L14Rik"
"15",1,1,1,4,4,5,4,3,"0610012G03Rik"
"16",0,0,1,0,0,1,1,0,"0610030E20Rik"
"17",3,18,6,21,4,6,15,3,"0610031J06Rik"
"18",0,5,3,4,2,2,5,4,"0610037L13Rik"
"19",3,5,4,2,3,3,4,3,"0610037P05Rik"
"20",0,5,1,0,0,2,0,0,"0610040B10Rik"
"21",2,0,1,6,0,0,16,1,"0610040J01Rik"
"22",1,8,8,3,0,6,4,10,"0910001L09Rik"
"23",2,0,3,0,2,0,2,3,"1110001A16Rik"
"24",3,2,0,4,1,6,3,8,"1110001J03Rik"
"25",7,9,28,1,6,3,8,10,"1110002B05Rik"
"26",0,0,0,0,0,0,0,0,"1110002L01Rik"
"27",0,0,0,0,0,0,0,0,"1110002N22Rik"
"28",5,2,1,1,5,22,2,9,"1110003E01Rik"
"29",2,3,3,0,0,1,5,1,"1110004E09Rik"
"30",2,9,7,1,2,9,10,6,"1110004F10Rik"
"31",1,1,0,0,1,1,2,1,"1110005A03Rik"
"32",2,4,8,17,15,2,0,1,"1110007C09Rik"
"33",2,5,14,11,6,11,18,24,"1110008F13Rik"
"34",4,3,0,0,1,5,0,2,"1110008J03Rik"
"35",2,0,0,0,0,0,1,0,"1110008L16Rik"
"36",1,4,4,2,3,7,3,5,"1110008P14Rik"
"37",9,5,8,2,1,0,3,4,"1110012D08Rik"
"38",0,0,0,0,0,1,0,2,"1110012J17Rik"
"39",2,4,0,0,1,1,0,1,"1110012L19Rik"
"40",5,6,5,3,1,12,9,5,"1110014N23Rik"
"41",0,0,0,0,0,0,0,0,"1110017D15Rik"
"42",6,1,4,4,4,2,2,5,"1110018G07Rik"
"43",0,5,0,0,0,0,3,1,"1110018J18Rik"
"44",14,4,1,0,0,3,0,7,"1110020G09Rik"
"45",0,2,2,0,1,2,1,1,"1110021J02Rik"
"46",6,0,2,0,0,2,2,3,"1110021L09Rik"
"47",0,0,0,0,0,0,1,0,"1110028C15Rik"
"48",0,1,0,3,4,0,1,3,"1110031I02Rik"
"49",1,2,1,0,0,2,1,0,"1110032A03Rik"
"50",0,0,0,0,0,0,1,0,"1110032F04Rik"
"51",1,0,0,0,0,1,0,5,"1110034A24Rik"
"52",4,2,1,0,0,2,3,0,"1110034B05Rik"
"53",1,7,0,1,0,0,1,1,"1110034G24Rik"
"54",4,4,1,0,0,0,3,4,"1110037F02Rik"
"55",5,7,6,2,3,14,11,0,"1110038B12Rik"
"56",0,1,2,1,0,1,0,1,"1110038D17Rik"
"57",4,6,6,2,3,2,10,3,"1110038F14Rik"
"58",2,1,5,9,4,10,3,5,"1110049F12Rik"
"59",5,1,3,0,1,6,7,5,"1110051M20Rik"
"60",0,0,0,0,0,0,0,0,"1110054M08Rik"
"61",1,0,2,0,0,0,1,0,"1110054O05Rik"
"62",1,1,9,0,7,2,4,6,"1110057K04Rik"
"63",0,4,4,2,1,3,6,2,"1110058L19Rik"
"64",0,2,0,0,1,1,5,3,"1110059E24Rik"
"65",0,1,0,0,0,0,0,0,"1110059G10Rik"
"66",4,1,6,1,4,8,3,4,"1110065P20Rik"
"67",4,1,2,0,0,4,10,6,"1110067D22Rik"
"68",0,0,0,0,0,0,0,0,"1190002F15Rik"
"69",26,7,4,0,1,0,14,3,"1190002H23Rik"
"70",0,0,1,0,0,3,3,1,"1190002N15Rik"
"71",1,0,0,0,0,2,1,0,"1190005F20Rik"
"72",0,0,0,0,0,0,0,1,"1190005I06Rik"
"73",0,0,0,1,4,1,0,0,"1190007F08Rik"
"74",0,1,0,0,0,0,2,0,"1190007I07Rik"
